region,date,sessions,add_to_carts,checkouts,total_orders
Mexico City,5/15/2024,95924.2,3275.9,1314.1,280.5
Mexico City,11/18/2024,80180.5,2973.3,2262.7,751.4
Mexico City,11/15/2024,73380.5,2908.7,1795.2,537.2
Mexico City,11/24/2024,73344.8,1973.7,904.4,232.9
Mexico City,11/16/2024,71156.9,2415.7,1341.3,374
Mexico City,11/23/2024,70165.8,1922.7,793.9,170
Mexico City,11/17/2024,70087.6,2339.2,1455.2,438.6
Mexico City,11/22/2024,67447.5,1868.3,887.4,241.4
Mexico City,11/14/2024,60576.1,1572.5,703.8,187
Mexico City,11/20/2024,59659.8,1599.7,810.9,187
Mexico City,11/28/2024,59127.7,1479,657.9,185.3
Mexico City,12/2/2024,57451.5,1944.8,1144.1,314.5
Mexico City,11/26/2024,56992.5,1421.2,601.8,187
Mexico City,12/3/2024,55979.3,1868.3,926.5,246.5
Mexico City,11/19/2024,55921.5,1545.3,943.5,229.5
Mexico City,11/21/2024,55715.8,1689.8,748,197.2
Mexico City,11/25/2024,54872.6,1436.5,758.2,214.2
Mexico City,11/13/2024,54109.3,2284.8,1341.3,149.6
Mexico City,5/16/2024,53721.7,1951.6,1071,265.2
Mexico City,12/1/2024,51719.1,1575.9,882.3,270.3
Mexico City,11/27/2024,50474.7,1438.2,591.6,158.1
Mexico City,11/12/2024,50255.4,2500.7,1589.5,183.6
Mexico City,7/16/2024,48859.7,2344.3,1167.9,232.9
Mexico City,11/29/2024,48089.6,1434.8,948.6,292.4
Mexico City,11/6/2024,46486.5,1829.2,960.5,156.4
México,5/15/2024,46353.9,1456.9,654.5,141.1
Mexico City,5/23/2024,46226.4,1825.8,1127.1,285.6
Mexico City,11/5/2024,46056.4,1742.5,853.4,146.2
Mexico City,7/22/2024,44417.6,2633.3,1414.4,283.9
Mexico City,9/7/2024,43890.6,1910.8,1016.6,108.8
Mexico City,7/18/2024,43394.2,2670.7,1344.7,236.3
Mexico City,11/7/2024,42994.7,1752.7,1047.2,141.1
Mexico City,7/23/2024,42792.4,2424.2,1373.6,227.8
Mexico City,7/17/2024,42714.2,2386.8,1247.8,229.5
Mexico City,5/17/2024,42705.7,1424.6,822.8,197.2
Mexico City,11/10/2024,42336.8,1941.4,1305.6,134.3
Mexico City,5/19/2024,42047.8,1499.4,657.9,132.6
Mexico City,11/8/2024,41287.9,1603.1,1037,146.2
Mexico City,7/24/2024,41204.6,3196,1734,377.4
Mexico City,11/30/2024,41160.4,1286.9,647.7,181.9
Mexico City,7/19/2024,40941.1,2568.7,1317.5,260.1
Mexico City,11/11/2024,40505.9,1919.3,1378.7,153
Mexico City,5/18/2024,40354.6,1298.8,681.7,164.9
Mexico City,5/20/2024,39984,1538.5,851.7,180.2
Mexico City,11/4/2024,39808.9,1407.6,734.4,103.7
Mexico City,9/5/2024,39559,1817.3,987.7,117.3
Mexico City,10/1/2024,39470.6,1973.7,953.7,125.8
Mexico City,7/20/2024,39383.9,2349.4,1174.7,224.4
Mexico City,7/21/2024,38865.4,2269.5,1239.3,238
Mexico City,10/17/2024,38851.8,1460.3,834.7,103.7
Mexico City,7/3/2024,38766.8,1844.5,1025.1,175.1
Mexico City,9/6/2024,38243.2,1633.7,1020,105.4
Nuevo León,11/24/2024,37927,826.2,425,107.1
Mexico City,7/10/2024,37651.6,1921,1125.4,153
Nuevo León,11/18/2024,37432.3,1428,912.9,292.4
Nuevo León,11/15/2024,37309.9,1388.9,793.9,197.2
Mexico City,7/2/2024,36757.4,1732.3,921.4,173.4
Mexico City,11/3/2024,36629.9,1426.3,727.6,119
Mexico City,11/9/2024,36169.2,1737.4,1292,119
Nuevo León,11/16/2024,35951.6,1251.2,649.4,175.1
Mexico City,5/22/2024,35941.4,1448.4,906.1,207.4
Mexico City,9/9/2024,35836,1776.5,1178.1,132.6
Mexico City,10/28/2024,35815.6,1523.2,819.4,122.4
Nuevo León,11/23/2024,35686.4,783.7,292.4,69.7
Mexico City,7/11/2024,35662.6,1793.5,982.6,164.9
Nuevo León,5/15/2024,35292,1064.2,399.5,73.1
Mexico City,9/8/2024,35220.6,1781.6,1052.3,129.2
Mexico City,10/2/2024,34816,1662.6,994.5,125.8
Mexico City,12/5/2023,34669.8,1348.1,992.8,158.1
Mexico City,8/1/2024,34176.8,1555.5,819.4,171.7
