day,location,sessions,carts,payment,sales
6/28/2024,Tlaxcala,621,34.5,36.8,0
6/28/2024,Michoacán,2911.8,154.1,101.2,6.9
6/28/2024,Yucatán,2872.7,105.8,92,9.2
6/28/2024,Guerrero,1324.8,20.7,16.1,0
6/28/2024,Tamaulipas,2617.4,69,52.9,2.3
6/28/2024,San Luis Potosí,1361.6,48.3,43.7,4.6
6/28/2024,Sinaloa,3726,131.1,117.3,13.8
6/28/2024,Zacatecas,938.4,27.6,25.3,0
6/28/2024,Morelos,2208,69,59.8,0
6/28/2024,Coahuila,3318.9,335.8,289.8,11.5
6/28/2024,Jalisco,12252.1,522.1,434.7,41.4
6/28/2024,Aguascalientes,954.5,25.3,16.1,2.3
6/28/2024,Nuevo León,10980.2,455.4,338.1,36.8
6/28/2024,Chihuahua,3484.5,147.2,103.5,9.2
6/28/2024,Quintana Roo,3295.9,96.6,96.6,6.9
6/28/2024,México,15214.5,549.7,448.5,52.9
6/28/2024,Puebla,4105.5,179.4,138,9.2
6/28/2024,Hidalgo,1483.5,57.5,46,6.9
6/28/2024,Querétaro,3289,158.7,71.3,13.8
6/28/2024,Oaxaca,641.7,25.3,11.5,2.3
6/28/2024,Nayarit,510.6,16.1,9.2,4.6
6/28/2024,Durango,692.3,25.3,16.1,2.3
6/28/2024,Colima,722.2,29.9,23,0
6/28/2024,Baja California,3673.1,161,121.9,9.2
6/28/2024,Mexico City,32365.6,1527.2,1304.1,101.2
6/28/2024,Chiapas,1186.8,55.2,41.4,0
6/28/2024,Guanajuato,4512.6,149.5,126.5,9.2
6/28/2024,Veracruz,4489.6,172.5,149.5,13.8
6/28/2024,Campeche,765.9,29.9,34.5,2.3
6/28/2024,Tabasco,2334.5,94.3,64.4,4.6
6/28/2024,Baja California Sur,892.4,36.8,27.6,2.3
6/28/2024,Sonora,3413.2,112.7,101.2,11.5
6/29/2024,Baja California Sur,699.2,25.3,27.6,6.9
6/29/2024,Coahuila,2819.8,301.3,271.4,4.6
6/29/2024,Baja California,3316.6,92,80.5,2.3
6/29/2024,Tamaulipas,2375.9,80.5,59.8,2.3
6/29/2024,Sonora,2670.3,85.1,55.2,0
6/29/2024,Guanajuato,3822.6,144.9,87.4,6.9
6/29/2024,Aguascalientes,931.5,36.8,23,6.9
6/29/2024,México,12898.4,483,407.1,34.5
6/29/2024,Hidalgo,1193.7,52.9,52.9,2.3
6/29/2024,San Luis Potosí,1255.8,62.1,23,2.3
6/29/2024,Jalisco,10747.9,443.9,377.2,52.9
6/29/2024,Nuevo León,9685.3,358.8,282.9,39.1
6/29/2024,Chihuahua,3061.3,131.1,87.4,11.5
6/29/2024,Quintana Roo,3337.3,144.9,92,18.4
6/29/2024,Yucatán,2647.3,98.9,82.8,6.9
6/29/2024,Durango,616.4,27.6,16.1,2.3
6/29/2024,Colima,602.6,27.6,20.7,0
6/29/2024,Querétaro,3052.1,110.4,112.7,23
6/29/2024,Campeche,678.5,25.3,20.7,2.3
6/29/2024,Nayarit,478.4,25.3,16.1,0
6/29/2024,Guerrero,1166.1,50.6,36.8,4.6
6/29/2024,Tabasco,2155.1,85.1,41.4,2.3
6/29/2024,Puebla,3749,147.2,138,16.1
6/29/2024,Zacatecas,742.9,20.7,23,2.3
6/29/2024,Morelos,1957.3,55.2,48.3,13.8
6/29/2024,Sinaloa,2762.3,96.6,62.1,2.3
6/29/2024,Chiapas,1131.6,48.3,39.1,2.3
6/29/2024,Tlaxcala,554.3,34.5,25.3,0
6/29/2024,Veracruz,3539.7,142.6,82.8,11.5
6/29/2024,Oaxaca,529,23,11.5,0
6/29/2024,Mexico City,28294.6,1345.5,1090.2,115
6/29/2024,Michoacán,2555.3,89.7,69,4.6
6/30/2024,Sinaloa,3353.4,112.7,66.7,6.9
6/30/2024,Oaxaca,669.3,29.9,18.4,4.6
6/30/2024,Mexico City,34359.7,1536.4,1200.6,103.5
6/30/2024,Nayarit,556.6,25.3,18.4,4.6
6/30/2024,Tabasco,2541.5,105.8,87.4,9.2
6/30/2024,Baja California Sur,731.4,16.1,11.5,0
6/30/2024,Guerrero,1423.7,46,34.5,4.6
6/30/2024,Morelos,2251.7,94.3,36.8,2.3
6/30/2024,Zacatecas,917.7,32.2,39.1,0
6/30/2024,Puebla,4551.7,156.4,124.2,11.5
6/30/2024,Baja California,3413.2,115,82.8,4.6
6/30/2024,Guanajuato,4793.2,161,108.1,16.1
6/30/2024,Tlaxcala,745.2,27.6,25.3,0
6/30/2024,Colima,715.3,43.7,46,6.9
6/30/2024,Michoacán,3190.1,142.6,85.1,4.6
6/30/2024,Durango,763.6,18.4,6.9,0
6/30/2024,San Luis Potosí,1589.3,69,36.8,2.3
6/30/2024,Veracruz,5099.1,163.3,133.4,18.4
6/30/2024,Coahuila,3413.2,326.6,262.2,11.5
6/30/2024,Chiapas,1248.9,48.3,29.9,0
6/30/2024,Campeche,871.7,34.5,39.1,4.6
6/30/2024,Hidalgo,1681.3,57.5,57.5,4.6
6/30/2024,Aguascalientes,1041.9,36.8,16.1,2.3
6/30/2024,Tamaulipas,2868.1,66.7,59.8,2.3
6/30/2024,Sonora,3231.5,112.7,94.3,6.9
6/30/2024,México,16960.2,614.1,508.3,69
6/30/2024,Yucatán,2771.5,96.6,64.4,18.4
6/30/2024,Chihuahua,3436.2,110.4,82.8,6.9
6/30/2024,Quintana Roo,3369.5,105.8,85.1,11.5
6/30/2024,Querétaro,3732.9,158.7,73.6,2.3
6/30/2024,Nuevo León,12383.2,469.2,308.2,52.9
6/30/2024,Jalisco,12314.2,485.3,402.5,34.5
7/1/2024,Morelos,2566.8,82.8,34.5,2.3
7/1/2024,Zacatecas,979.8,41.4,25.3,0
7/1/2024,Nayarit,634.8,41.4,36.8,2.3
7/1/2024,Baja California Sur,913.1,32.2,25.3,2.3
7/1/2024,Veracruz,5273.9,156.4,119.6,6.9
