2025-07-06 15:04:06 | ERROR    | Murray.auxiliary:cleaned_data:132 | An unexpected error occurred: 'location'
2025-07-06 15:04:07 | WARNING  | Murray.auxiliary:handle_duplicates:31 | Found 17177 duplicate entries in the data. Aggregating by mean.
2025-07-06 15:04:11 | WARNING  | Murray.auxiliary:handle_duplicates:31 | Found 17177 duplicate entries in the data. Aggregating by mean.
2025-07-06 15:04:12 | WARNING  | Murray.auxiliary:handle_duplicates:31 | Found 17177 duplicate entries in the data. Aggregating by mean.
2025-07-06 15:04:13 | WARNING  | Murray.auxiliary:handle_duplicates:31 | Found 17177 duplicate entries in the data. Aggregating by mean.
2025-07-06 15:04:17 | WARNING  | Murray.auxiliary:handle_duplicates:31 | Found 17177 duplicate entries in the data. Aggregating by mean.
2025-07-06 15:04:19 | WARNING  | Murray.auxiliary:handle_duplicates:31 | Found 17177 duplicate entries in the data. Aggregating by mean.
2025-07-06 15:04:19 | WARNING  | Murray.auxiliary:handle_duplicates:31 | Found 17177 duplicate entries in the data. Aggregating by mean.
2025-07-06 15:04:20 | WARNING  | Murray.auxiliary:handle_duplicates:31 | Found 17177 duplicate entries in the data. Aggregating by mean.
2025-07-06 15:04:20 | WARNING  | Murray.auxiliary:handle_duplicates:31 | Found 17177 duplicate entries in the data. Aggregating by mean.
2025-07-06 15:04:21 | WARNING  | Murray.auxiliary:handle_duplicates:31 | Found 17177 duplicate entries in the data. Aggregating by mean.
2025-07-06 15:04:22 | WARNING  | Murray.auxiliary:handle_duplicates:31 | Found 17177 duplicate entries in the data. Aggregating by mean.
2025-07-06 15:04:22 | WARNING  | Murray.auxiliary:handle_duplicates:31 | Found 17177 duplicate entries in the data. Aggregating by mean.
2025-07-06 15:04:23 | WARNING  | Murray.auxiliary:handle_duplicates:31 | Found 17177 duplicate entries in the data. Aggregating by mean.
2025-07-06 15:04:24 | WARNING  | Murray.auxiliary:handle_duplicates:31 | Found 17177 duplicate entries in the data. Aggregating by mean.
2025-07-06 15:04:24 | WARNING  | Murray.auxiliary:handle_duplicates:31 | Found 17177 duplicate entries in the data. Aggregating by mean.
2025-07-06 15:04:25 | WARNING  | Murray.auxiliary:handle_duplicates:31 | Found 17177 duplicate entries in the data. Aggregating by mean.
2025-07-06 15:04:25 | WARNING  | Murray.auxiliary:handle_duplicates:31 | Found 17177 duplicate entries in the data. Aggregating by mean.
2025-07-06 15:04:25 | WARNING  | Murray.auxiliary:handle_duplicates:31 | Found 17177 duplicate entries in the data. Aggregating by mean.
2025-07-06 15:04:26 | WARNING  | Murray.auxiliary:handle_duplicates:31 | Found 17177 duplicate entries in the data. Aggregating by mean.
2025-07-06 15:04:26 | WARNING  | Murray.auxiliary:handle_duplicates:31 | Found 17177 duplicate entries in the data. Aggregating by mean.
2025-07-06 15:04:26 | WARNING  | Murray.auxiliary:handle_duplicates:31 | Found 17177 duplicate entries in the data. Aggregating by mean.
2025-07-06 15:04:27 | WARNING  | Murray.auxiliary:handle_duplicates:31 | Found 17177 duplicate entries in the data. Aggregating by mean.
2025-07-06 15:04:27 | WARNING  | Murray.auxiliary:handle_duplicates:31 | Found 17177 duplicate entries in the data. Aggregating by mean.
2025-07-06 15:04:33 | WARNING  | Murray.auxiliary:handle_duplicates:31 | Found 17177 duplicate entries in the data. Aggregating by mean.
2025-07-06 15:04:46 | WARNING  | Murray.auxiliary:handle_duplicates:31 | Found 17177 duplicate entries in the data. Aggregating by mean.
2025-07-06 15:04:47 | INFO     | Murray.metrics:update_metrics:57 | New record added: {'timestamp': '2025-07-06 15:04:47', 'section': 'experimental_design', 'date': '2025-07-06', 'day_of_week': 'Sunday', 'hour': 15}
2025-07-06 15:04:47 | INFO     | Murray.main:run_geo_analysis_streamlit_app:787 | Starting run_geo_analysis_streamlit_app............
2025-07-06 15:04:47 | INFO     | Murray.main:run_geo_analysis_streamlit_app:798 | Step 1: Generating market correlations.....
2025-07-06 15:04:47 | INFO     | Murray.main:run_geo_analysis_streamlit_app:800 | Market correlations generated successfully.
2025-07-06 15:04:47 | INFO     | Murray.main:run_geo_analysis_streamlit_app:806 | Step 2: Finding best groups for control and treatment.....
2025-07-06 15:04:47 | INFO     | Murray.main:BetterGroups:408 | Number of locations: 329
2025-07-06 15:04:47 | INFO     | Murray.main:BetterGroups:410 | Maximum treatment group size: 148
2025-07-06 15:04:47 | INFO     | Murray.main:BetterGroups:412 | Minimum treatment group size: 115
2025-07-06 15:04:48 | INFO     | Murray.main:BetterGroups:429 | Generating possible treatment groups...
2025-07-06 15:04:48 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 115
2025-07-06 15:04:48 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 116
2025-07-06 15:04:48 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 117
2025-07-06 15:04:49 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 118
2025-07-06 15:04:49 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 119
2025-07-06 15:04:49 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 120
2025-07-06 15:04:49 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 121
2025-07-06 15:04:49 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 122
2025-07-06 15:04:50 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 123
2025-07-06 15:04:50 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 124
2025-07-06 15:04:50 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 125
2025-07-06 15:04:51 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 126
2025-07-06 15:04:51 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 127
2025-07-06 15:04:51 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 128
2025-07-06 15:04:52 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 129
2025-07-06 15:04:52 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 130
2025-07-06 15:04:52 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 131
2025-07-06 15:04:52 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 132
2025-07-06 15:04:53 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 133
2025-07-06 15:04:53 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 134
2025-07-06 15:04:53 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 135
2025-07-06 15:04:53 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 136
2025-07-06 15:04:54 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 137
2025-07-06 15:04:54 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 138
2025-07-06 15:04:54 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 139
2025-07-06 15:04:55 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 140
2025-07-06 15:04:55 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 141
2025-07-06 15:04:55 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 142
2025-07-06 15:04:56 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 143
2025-07-06 15:04:56 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 144
2025-07-06 15:04:56 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 145
2025-07-06 15:04:57 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 146
2025-07-06 15:04:57 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 147
2025-07-06 15:04:57 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 148
2025-07-06 15:04:57 | INFO     | Murray.main:BetterGroups:435 | Total possible groups generated: 170000
2025-07-06 15:05:02 | INFO     | Murray.main:BetterGroups:455 | Tasks submitted, starting to collect results...
2025-07-06 15:05:02 | INFO     | Murray.main:BetterGroups:477 | Processed 1/170000 groups
2025-07-06 15:09:22 | INFO     | Murray.main:BetterGroups:477 | Processed 17000/170000 groups
2025-07-06 15:13:10 | INFO     | Murray.main:BetterGroups:477 | Processed 34000/170000 groups
2025-07-06 15:16:53 | INFO     | Murray.main:BetterGroups:477 | Processed 51000/170000 groups
2025-07-06 15:20:40 | INFO     | Murray.main:BetterGroups:477 | Processed 68000/170000 groups
2025-07-06 15:24:45 | INFO     | Murray.main:BetterGroups:477 | Processed 85000/170000 groups
2025-07-06 15:28:52 | INFO     | Murray.main:BetterGroups:477 | Processed 102000/170000 groups
2025-07-06 15:32:54 | INFO     | Murray.main:BetterGroups:477 | Processed 119000/170000 groups
2025-07-06 15:36:50 | INFO     | Murray.main:BetterGroups:477 | Processed 136000/170000 groups
2025-07-06 15:40:52 | INFO     | Murray.main:BetterGroups:477 | Processed 153000/170000 groups
2025-07-06 15:43:27 | ERROR    | Murray.auxiliary:cleaned_data:132 | An unexpected error occurred: 'location'
2025-07-06 15:43:28 | WARNING  | Murray.auxiliary:handle_duplicates:31 | Found 17177 duplicate entries in the data. Aggregating by mean.
2025-07-06 15:43:35 | WARNING  | Murray.auxiliary:handle_duplicates:31 | Found 17177 duplicate entries in the data. Aggregating by mean.
2025-07-06 15:43:35 | WARNING  | Murray.auxiliary:handle_duplicates:31 | Found 17177 duplicate entries in the data. Aggregating by mean.
2025-07-06 15:43:37 | WARNING  | Murray.auxiliary:handle_duplicates:31 | Found 17177 duplicate entries in the data. Aggregating by mean.
2025-07-06 15:43:39 | WARNING  | Murray.auxiliary:handle_duplicates:31 | Found 17177 duplicate entries in the data. Aggregating by mean.
2025-07-06 15:43:43 | WARNING  | Murray.auxiliary:handle_duplicates:31 | Found 17177 duplicate entries in the data. Aggregating by mean.
2025-07-06 15:43:46 | WARNING  | Murray.auxiliary:handle_duplicates:31 | Found 17177 duplicate entries in the data. Aggregating by mean.
2025-07-06 15:43:47 | INFO     | Murray.metrics:update_metrics:57 | New record added: {'timestamp': '2025-07-06 15:43:47', 'section': 'experimental_design', 'date': '2025-07-06', 'day_of_week': 'Sunday', 'hour': 15}
2025-07-06 15:43:47 | INFO     | Murray.main:run_geo_analysis_streamlit_app:787 | Starting run_geo_analysis_streamlit_app............
2025-07-06 15:43:47 | INFO     | Murray.main:run_geo_analysis_streamlit_app:798 | Step 1: Generating market correlations.....
2025-07-06 15:43:47 | INFO     | Murray.main:run_geo_analysis_streamlit_app:800 | Market correlations generated successfully.
2025-07-06 15:43:47 | INFO     | Murray.main:run_geo_analysis_streamlit_app:806 | Step 2: Finding best groups for control and treatment.....
2025-07-06 15:43:47 | INFO     | Murray.main:BetterGroups:408 | Number of locations: 329
2025-07-06 15:43:47 | INFO     | Murray.main:BetterGroups:410 | Maximum treatment group size: 148
2025-07-06 15:43:47 | INFO     | Murray.main:BetterGroups:412 | Minimum treatment group size: 115
2025-07-06 15:43:48 | INFO     | Murray.main:BetterGroups:429 | Generating possible treatment groups...
2025-07-06 15:43:48 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 115
2025-07-06 15:43:49 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 116
2025-07-06 15:43:50 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 117
2025-07-06 15:43:50 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 118
2025-07-06 15:43:51 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 119
2025-07-06 15:43:51 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 120
2025-07-06 15:43:52 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 121
2025-07-06 15:43:53 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 122
2025-07-06 15:43:53 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 123
