time,location,Y
2022-01-01,aguascalientes,1.5
2022-01-01,baja california,1.7962962962962963
2022-01-01,baja california sur,1.2
2022-01-01,campeche,2.193548387096774
2022-01-01,chiapas,2.2205882352941178
2022-01-01,chihuahua,1.6862745098039216
2022-01-01,coahuila de zaragoza,1.62
2022-01-01,colima,1.3333333333333333
2022-01-01,distrito federal,5.341563786008231
2022-01-01,durango,1.4
2022-01-01,guanajuato,2.3789473684210525
2022-01-01,guerrero,3.9411764705882355
2022-01-01,hidalgo,2.625
2022-01-01,jalisco,2.172727272727273
2022-01-01,mexico,4.676470588235294
2022-01-01,michoacan de ocampo,2.4705882352941178
2022-01-01,morelos,3.9545454545454546
2022-01-01,nayarit,2.3846153846153846
2022-01-01,nuevo leon,1.7575757575757576
2022-01-01,oaxaca,2.5454545454545454
2022-01-01,puebla,2.3529411764705883
2022-01-01,queretaro,2.590909090909091
2022-01-01,quintana roo,2.1931818181818183
2022-01-01,san luis potosi,2.3142857142857145
2022-01-01,sinaloa,1.4603174603174602
2022-01-01,sonora,1.5423728813559323
2022-01-01,tabasco,1.8888888888888888
2022-01-01,tamaulipas,1.675
2022-01-01,tijuana,1.0
2022-01-01,tlaxcala,2.8
2022-01-01,veracruz,2.0090909090909093
2022-01-01,yucatan,2.5982905982905984
2022-01-01,zacatecas,2.3333333333333335
2022-01-01,(en blanco),266.0
2022-01-01,no vis,0.0
2022-01-02,aguascalientes,0.0
2022-01-02,baja california,0.0
2022-01-02,baja california sur,0.0
2022-01-02,campeche,0.0
2022-01-02,chiapas,0.0
2022-01-02,chihuahua,0.0
2022-01-02,coahuila de zaragoza,0.0
2022-01-02,colima,0.0
2022-01-02,distrito federal,0.0
2022-01-02,durango,0.0
2022-01-02,guanajuato,0.0
2022-01-02,guerrero,0.0
2022-01-02,hidalgo,0.0
2022-01-02,jalisco,0.0
2022-01-02,mexico,0.0
2022-01-02,michoacan de ocampo,0.0
2022-01-02,morelos,0.0
2022-01-02,nayarit,0.0
2022-01-02,nuevo leon,0.0
2022-01-02,oaxaca,0.0
2022-01-02,puebla,0.0
2022-01-02,queretaro,0.0
2022-01-02,quintana roo,0.0
2022-01-02,san luis potosi,0.0
2022-01-02,sinaloa,0.0
2022-01-02,sonora,0.0
2022-01-02,tabasco,0.0
2022-01-02,tamaulipas,0.0
2022-01-02,tijuana,0.0
2022-01-02,tlaxcala,0.0
2022-01-02,veracruz,0.0
2022-01-02,yucatan,0.0
2022-01-02,zacatecas,0.0
2022-01-02,(en blanco),0.0
2022-01-02,no vis,0.0
2022-01-03,aguascalientes,0.0
2022-01-03,baja california,0.0
2022-01-03,baja california sur,0.0
2022-01-03,campeche,0.0
2022-01-03,chiapas,0.0
2022-01-03,chihuahua,0.0
2022-01-03,coahuila de zaragoza,0.0
2022-01-03,colima,0.0
2022-01-03,distrito federal,0.0
2022-01-03,durango,0.0
2022-01-03,guanajuato,0.0
2022-01-03,guerrero,0.0
2022-01-03,hidalgo,0.0
2022-01-03,jalisco,0.0
2022-01-03,mexico,0.0
2022-01-03,michoacan de ocampo,0.0
2022-01-03,morelos,0.0
2022-01-03,nayarit,0.0
2022-01-03,nuevo leon,0.0
2022-01-03,oaxaca,0.0
2022-01-03,puebla,0.0
2022-01-03,queretaro,0.0
2022-01-03,quintana roo,0.0
2022-01-03,san luis potosi,0.0
2022-01-03,sinaloa,0.0
2022-01-03,sonora,0.0
2022-01-03,tabasco,0.0
2022-01-03,tamaulipas,0.0
2022-01-03,tijuana,0.0
2022-01-03,tlaxcala,0.0
2022-01-03,veracruz,0.0
2022-01-03,yucatan,0.0
2022-01-03,zacatecas,0.0
2022-01-03,(en blanco),0.0
2022-01-03,no vis,0.0
2022-01-04,aguascalientes,0.0
2022-01-04,baja california,0.0
2022-01-04,baja california sur,0.0
2022-01-04,campeche,0.0
2022-01-04,chiapas,0.0
2022-01-04,chihuahua,0.0
2022-01-04,coahuila de zaragoza,0.0
2022-01-04,colima,0.0
2022-01-04,distrito federal,0.0
2022-01-04,durango,0.0
2022-01-04,guanajuato,0.0
2022-01-04,guerrero,0.0
2022-01-04,hidalgo,0.0
2022-01-04,jalisco,0.0
2022-01-04,mexico,0.0
2022-01-04,michoacan de ocampo,0.0
2022-01-04,morelos,0.0
2022-01-04,nayarit,0.0
2022-01-04,nuevo leon,0.0
2022-01-04,oaxaca,0.0
2022-01-04,puebla,0.0
2022-01-04,queretaro,0.0
2022-01-04,quintana roo,0.0
2022-01-04,san luis potosi,0.0
2022-01-04,sinaloa,0.0
2022-01-04,sonora,0.0
2022-01-04,tabasco,0.0
2022-01-04,tamaulipas,0.0
2022-01-04,tijuana,0.0
2022-01-04,tlaxcala,0.0
2022-01-04,veracruz,0.0
2022-01-04,yucatan,0.0
2022-01-04,zacatecas,0.0
2022-01-04,(en blanco),0.0
2022-01-04,no vis,0.0
2022-01-05,aguascalientes,0.0
2022-01-05,baja california,0.0
2022-01-05,baja california sur,0.0
2022-01-05,campeche,0.0
2022-01-05,chiapas,0.0
2022-01-05,chihuahua,0.0
2022-01-05,coahuila de zaragoza,0.0
2022-01-05,colima,0.0
2022-01-05,distrito federal,0.0
2022-01-05,durango,0.0
2022-01-05,guanajuato,0.0
2022-01-05,guerrero,0.0
2022-01-05,hidalgo,0.0
2022-01-05,jalisco,0.0
2022-01-05,mexico,0.0
2022-01-05,michoacan de ocampo,0.0
2022-01-05,morelos,0.0
2022-01-05,nayarit,0.0
2022-01-05,nuevo leon,0.0
2022-01-05,oaxaca,0.0
2022-01-05,puebla,0.0
2022-01-05,queretaro,0.0
2022-01-05,quintana roo,0.0
2022-01-05,san luis potosi,0.0
2022-01-05,sinaloa,0.0
2022-01-05,sonora,0.0
2022-01-05,tabasco,0.0
2022-01-05,tamaulipas,0.0
2022-01-05,tijuana,0.0
2022-01-05,tlaxcala,0.0
2022-01-05,veracruz,0.0
2022-01-05,yucatan,0.0
2022-01-05,zacatecas,0.0
2022-01-05,(en blanco),0.0
2022-01-05,no vis,0.0
2022-01-06,aguascalientes,0.0
2022-01-06,baja california,0.0
2022-01-06,baja california sur,0.0
2022-01-06,campeche,0.0
2022-01-06,chiapas,0.0
2022-01-06,chihuahua,0.0
2022-01-06,coahuila de zaragoza,0.0
2022-01-06,colima,0.0
2022-01-06,distrito federal,0.0
2022-01-06,durango,0.0
2022-01-06,guanajuato,0.0
2022-01-06,guerrero,0.0
2022-01-06,hidalgo,0.0
2022-01-06,jalisco,0.0
2022-01-06,mexico,0.0
2022-01-06,michoacan de ocampo,0.0
2022-01-06,morelos,0.0
2022-01-06,nayarit,0.0
2022-01-06,nuevo leon,0.0
2022-01-06,oaxaca,0.0
2022-01-06,puebla,0.0
2022-01-06,queretaro,0.0
2022-01-06,quintana roo,0.0
2022-01-06,san luis potosi,0.0
2022-01-06,sinaloa,0.0
2022-01-06,sonora,0.0
2022-01-06,tabasco,0.0
2022-01-06,tamaulipas,0.0
2022-01-06,tijuana,0.0
2022-01-06,tlaxcala,0.0
2022-01-06,veracruz,0.0
2022-01-06,yucatan,0.0
2022-01-06,zacatecas,0.0
2022-01-06,(en blanco),0.0
2022-01-06,no vis,0.0
2022-01-07,aguascalientes,0.0
2022-01-07,baja california,0.0
2022-01-07,baja california sur,0.0
2022-01-07,campeche,0.0
2022-01-07,chiapas,0.0
2022-01-07,chihuahua,0.0
2022-01-07,coahuila de zaragoza,0.0
2022-01-07,colima,0.0
2022-01-07,distrito federal,0.0
2022-01-07,durango,0.0
2022-01-07,guanajuato,0.0
2022-01-07,guerrero,0.0
2022-01-07,hidalgo,0.0
2022-01-07,jalisco,0.0
2022-01-07,mexico,0.0
2022-01-07,michoacan de ocampo,0.0
2022-01-07,morelos,0.0
2022-01-07,nayarit,0.0
2022-01-07,nuevo leon,0.0
2022-01-07,oaxaca,0.0
2022-01-07,puebla,0.0
2022-01-07,queretaro,0.0
2022-01-07,quintana roo,0.0
2022-01-07,san luis potosi,0.0
2022-01-07,sinaloa,0.0
2022-01-07,sonora,0.0
2022-01-07,tabasco,0.0
2022-01-07,tamaulipas,0.0
2022-01-07,tijuana,0.0
2022-01-07,tlaxcala,0.0
2022-01-07,veracruz,0.0
2022-01-07,yucatan,0.0
2022-01-07,zacatecas,0.0
2022-01-07,(en blanco),0.0
2022-01-07,no vis,0.0
2022-01-08,aguascalientes,0.0
2022-01-08,baja california,0.0
2022-01-08,baja california sur,0.0
2022-01-08,campeche,0.0
2022-01-08,chiapas,0.0
2022-01-08,chihuahua,0.0
2022-01-08,coahuila de zaragoza,0.0
2022-01-08,colima,0.0
2022-01-08,distrito federal,0.0
2022-01-08,durango,0.0
2022-01-08,guanajuato,0.0
2022-01-08,guerrero,0.0
2022-01-08,hidalgo,0.0
2022-01-08,jalisco,0.0
2022-01-08,mexico,0.0
2022-01-08,michoacan de ocampo,0.0
2022-01-08,morelos,0.0
2022-01-08,nayarit,0.0
2022-01-08,nuevo leon,0.0
2022-01-08,oaxaca,0.0
2022-01-08,puebla,0.0
2022-01-08,queretaro,0.0
2022-01-08,quintana roo,0.0
2022-01-08,san luis potosi,0.0
2022-01-08,sinaloa,0.0
2022-01-08,sonora,0.0
2022-01-08,tabasco,0.0
2022-01-08,tamaulipas,0.0
2022-01-08,tijuana,0.0
2022-01-08,tlaxcala,0.0
2022-01-08,veracruz,0.0
2022-01-08,yucatan,0.0
2022-01-08,zacatecas,0.0
2022-01-08,(en blanco),0.0
2022-01-08,no vis,0.0
2022-01-09,aguascalientes,0.0
2022-01-09,baja california,0.0
2022-01-09,baja california sur,0.0
2022-01-09,campeche,0.0
2022-01-09,chiapas,0.0
2022-01-09,chihuahua,0.0
2022-01-09,coahuila de zaragoza,0.0
2022-01-09,colima,0.0
2022-01-09,distrito federal,0.0
2022-01-09,durango,0.0
2022-01-09,guanajuato,0.0
2022-01-09,guerrero,0.0
2022-01-09,hidalgo,0.0
2022-01-09,jalisco,0.0
2022-01-09,mexico,0.0
2022-01-09,michoacan de ocampo,0.0
2022-01-09,morelos,0.0
2022-01-09,nayarit,0.0
2022-01-09,nuevo leon,0.0
2022-01-09,oaxaca,0.0
2022-01-09,puebla,0.0
2022-01-09,queretaro,0.0
2022-01-09,quintana roo,0.0
2022-01-09,san luis potosi,0.0
