time,location,Y,total_sessions,total_carts,total_checkouts,total_orders_placed
2023-12-05,mexico city,Mexico,20394,793,584,93
2023-12-05,méxico,Mexico,8691,357,292,50
2023-12-05,nuevo león,Mexico,7536,270,185,18
2023-12-05,jalisco,Mexico,8381,390,275,39
2023-12-05,veracruz,Mexico,2887,132,112,11
2023-12-05,guanajuato,Mexico,2166,86,57,6
2023-12-05,sinaloa,Mexico,2037,94,68,13
2023-12-05,puebla,Mexico,2142,83,68,10
2023-12-05,querétaro,Mexico,1860,86,51,9
2023-12-05,baja california,Mexico,2429,92,72,6
2023-12-05,chihuahua,Mexico,1717,66,47,4
2023-12-05,sonora,Mexico,1796,71,48,7
2023-12-05,coahuila,Mexico,1636,51,45,1
2023-12-05,tamaulipas,Mexico,1608,59,42,5
2023-12-05,yucatán,Mexico,1898,73,67,3
2023-12-05,quintana roo,Mexico,1525,71,53,4
2023-12-05,michoacán,Mexico,1248,40,31,4
2023-12-05,morelos,Mexico,884,41,28,2
2023-12-05,tabasco,Mexico,1166,38,30,3
2023-12-05,guerrero,Mexico,441,22,10,1
2023-12-05,chiapas,Mexico,628,22,14,1
2023-12-05,san luis potosí,Mexico,839,35,30,6
2023-12-05,hidalgo,Mexico,731,38,27,5
2023-12-05,oaxaca,Mexico,361,16,12,0
2023-12-05,aguascalientes,Mexico,612,21,17,3
2023-12-05,zacatecas,Mexico,423,13,13,4
2023-12-05,baja california sur,Mexico,384,23,12,0
2023-12-05,durango,Mexico,417,17,16,2
2023-12-05,campeche,Mexico,436,21,15,0
2023-12-05,nayarit,Mexico,300,9,8,0
2023-12-05,colima,Mexico,266,15,11,1
2023-12-05,tlaxcala,Mexico,295,15,9,2
2023-12-06,mexico city,Mexico,19376,871,676,96
2023-12-06,méxico,Mexico,8238,386,284,52
2023-12-06,nuevo león,Mexico,6762,269,198,27
2023-12-06,jalisco,Mexico,7983,346,264,32
2023-12-06,veracruz,Mexico,2626,137,102,8
2023-12-06,guanajuato,Mexico,2046,108,66,8
2023-12-06,sinaloa,Mexico,1935,83,50,12
2023-12-06,puebla,Mexico,2165,89,73,7
2023-12-06,querétaro,Mexico,1730,77,56,9
2023-12-06,baja california,Mexico,2179,74,66,1
2023-12-06,chihuahua,Mexico,1451,66,40,4
2023-12-06,sonora,Mexico,1735,69,45,4
2023-12-06,coahuila,Mexico,1520,50,41,3
2023-12-06,tamaulipas,Mexico,1475,57,46,5
2023-12-06,yucatán,Mexico,1688,71,58,2
2023-12-06,quintana roo,Mexico,1381,85,67,7
2023-12-06,michoacán,Mexico,1168,54,39,4
2023-12-06,morelos,Mexico,949,33,25,3
2023-12-06,tabasco,Mexico,1048,53,55,9
2023-12-06,guerrero,Mexico,413,18,15,1
2023-12-06,chiapas,Mexico,558,22,19,2
2023-12-06,san luis potosí,Mexico,723,34,29,2
2023-12-06,hidalgo,Mexico,723,21,28,3
2023-12-06,oaxaca,Mexico,294,13,10,2
2023-12-06,aguascalientes,Mexico,545,25,21,3
2023-12-06,zacatecas,Mexico,392,12,9,1
2023-12-06,baja california sur,Mexico,384,17,9,2
2023-12-06,durango,Mexico,443,28,16,0
2023-12-06,campeche,Mexico,431,21,17,1
2023-12-06,nayarit,Mexico,311,6,4,1
2023-12-06,colima,Mexico,255,10,10,1
2023-12-06,tlaxcala,Mexico,247,14,13,1
2023-12-07,mexico city,Mexico,15637,619,497,87
2023-12-07,méxico,Mexico,6760,249,239,42
2023-12-07,nuevo león,Mexico,6428,234,164,16
2023-12-07,jalisco,Mexico,7205,270,209,34
2023-12-07,veracruz,Mexico,2100,86,65,7
2023-12-07,guanajuato,Mexico,1795,77,55,5
2023-12-07,sinaloa,Mexico,1789,63,40,4
2023-12-07,puebla,Mexico,1668,68,57,8
2023-12-07,querétaro,Mexico,1544,78,60,4
2023-12-07,baja california,Mexico,1949,74,61,5
2023-12-07,chihuahua,Mexico,1445,54,36,7
2023-12-07,sonora,Mexico,1640,66,57,1
2023-12-07,coahuila,Mexico,1483,55,34,5
2023-12-07,tamaulipas,Mexico,1401,51,39,6
2023-12-07,yucatán,Mexico,1590,52,57,6
2023-12-07,quintana roo,Mexico,1249,57,66,10
2023-12-07,michoacán,Mexico,1015,34,28,2
2023-12-07,morelos,Mexico,672,17,13,4
2023-12-07,tabasco,Mexico,838,34,21,2
2023-12-07,guerrero,Mexico,395,17,11,1
2023-12-07,chiapas,Mexico,472,15,12,3
2023-12-07,san luis potosí,Mexico,659,32,24,1
2023-12-07,hidalgo,Mexico,550,26,23,6
2023-12-07,oaxaca,Mexico,254,12,10,0
2023-12-07,aguascalientes,Mexico,487,22,14,2
2023-12-07,zacatecas,Mexico,354,15,7,1
2023-12-07,baja california sur,Mexico,367,12,13,2
2023-12-07,durango,Mexico,350,8,7,0
2023-12-07,campeche,Mexico,297,10,8,2
2023-12-07,nayarit,Mexico,265,21,12,1
2023-12-07,colima,Mexico,234,13,7,0
2023-12-07,tlaxcala,Mexico,231,8,7,1
2023-12-08,mexico city,Mexico,13955,568,469,77
2023-12-08,méxico,Mexico,5972,216,194,29
2023-12-08,nuevo león,Mexico,5120,212,164,23
2023-12-08,jalisco,Mexico,6172,230,204,27
2023-12-08,veracruz,Mexico,1852,73,56,6
2023-12-08,guanajuato,Mexico,1393,35,34,4
2023-12-08,sinaloa,Mexico,1509,43,45,7
2023-12-08,puebla,Mexico,1474,57,51,7
2023-12-08,querétaro,Mexico,1244,33,33,3
2023-12-08,baja california,Mexico,1777,57,39,5
2023-12-08,chihuahua,Mexico,1188,47,38,3
2023-12-08,sonora,Mexico,1344,44,41,2
2023-12-08,coahuila,Mexico,1231,53,43,6
2023-12-08,tamaulipas,Mexico,1106,39,26,3
2023-12-08,yucatán,Mexico,1234,50,53,7
2023-12-08,quintana roo,Mexico,1134,43,41,6
2023-12-08,michoacán,Mexico,782,26,27,2
2023-12-08,morelos,Mexico,657,25,16,0
2023-12-08,tabasco,Mexico,639,24,20,4
2023-12-08,guerrero,Mexico,313,14,4,0
2023-12-08,chiapas,Mexico,434,26,26,6
2023-12-08,san luis potosí,Mexico,539,14,13,1
2023-12-08,hidalgo,Mexico,476,19,14,7
2023-12-08,oaxaca,Mexico,206,9,7,2
2023-12-08,aguascalientes,Mexico,361,20,17,1
2023-12-08,zacatecas,Mexico,282,6,4,0
2023-12-08,baja california sur,Mexico,326,15,9,2
2023-12-08,durango,Mexico,318,15,9,0
2023-12-08,campeche,Mexico,267,7,11,3
2023-12-08,nayarit,Mexico,220,4,7,1
2023-12-08,colima,Mexico,172,7,4,0
2023-12-08,tlaxcala,Mexico,191,9,6,3
2023-12-09,mexico city,Mexico,14263,509,443,73
2023-12-09,méxico,Mexico,6391,235,183,23
2023-12-09,nuevo león,Mexico,5289,185,121,18
2023-12-09,jalisco,Mexico,5786,208,171,18
2023-12-09,veracruz,Mexico,1931,60,58,8
2023-12-09,guanajuato,Mexico,1479,47,29,5
2023-12-09,sinaloa,Mexico,1554,59,51,10
2023-12-09,puebla,Mexico,1553,64,55,9
2023-12-09,querétaro,Mexico,1252,46,31,6
2023-12-09,baja california,Mexico,1927,64,56,7
2023-12-09,chihuahua,Mexico,1317,43,29,1
2023-12-09,sonora,Mexico,1333,34,23,1
2023-12-09,coahuila,Mexico,1222,32,19,3
2023-12-09,tamaulipas,Mexico,1197,34,25,2
2023-12-09,yucatán,Mexico,1279,31,28,5
2023-12-09,quintana roo,Mexico,1074,51,43,12
2023-12-09,michoacán,Mexico,887,32,20,3
2023-12-09,morelos,Mexico,692,18,12,2
2023-12-09,tabasco,Mexico,671,21,19,2
2023-12-09,guerrero,Mexico,354,13,12,2
2023-12-09,chiapas,Mexico,382,11,12,3
2023-12-09,san luis potosí,Mexico,570,18,12,0
2023-12-09,hidalgo,Mexico,485,10,11,0
2023-12-09,oaxaca,Mexico,218,10,8,0
2023-12-09,aguascalientes,Mexico,372,11,7,1
2023-12-09,zacatecas,Mexico,299,11,10,2
2023-12-09,baja california sur,Mexico,356,17,16,0
2023-12-09,durango,Mexico,349,11,10,5
2023-12-09,campeche,Mexico,262,5,5,1
2023-12-09,nayarit,Mexico,187,8,8,2
2023-12-09,colima,Mexico,174,4,3,0
2023-12-09,tlaxcala,Mexico,237,8,6,0
2023-12-10,mexico city,Mexico,14789,575,431,52
2023-12-10,méxico,Mexico,6820,257,215,23
2023-12-10,nuevo león,Mexico,5365,159,120,10
2023-12-10,jalisco,Mexico,6012,241,188,27
2023-12-10,veracruz,Mexico,2119,66,55,8
2023-12-10,guanajuato,Mexico,1708,67,61,3
2023-12-10,sinaloa,Mexico,1502,46,39,3
2023-12-10,puebla,Mexico,1545,55,36,4
2023-12-10,querétaro,Mexico,1426,57,37,9
2023-12-10,baja california,Mexico,1780,46,27,2
2023-12-10,chihuahua,Mexico,1404,49,38,8
2023-12-10,sonora,Mexico,1473,34,31,4
2023-12-10,coahuila,Mexico,1297,46,35,4
2023-12-10,tamaulipas,Mexico,1276,43,30,3
2023-12-10,yucatán,Mexico,1404,46,48,5
2023-12-10,quintana roo,Mexico,1167,44,37,3
2023-12-10,michoacán,Mexico,927,34,22,4
2023-12-10,morelos,Mexico,734,22,17,2
2023-12-10,tabasco,Mexico,710,24,19,1
2023-12-10,guerrero,Mexico,379,17,15,0
2023-12-10,chiapas,Mexico,419,9,6,1
2023-12-10,san luis potosí,Mexico,567,22,15,2
2023-12-10,hidalgo,Mexico,548,28,19,3
2023-12-10,oaxaca,Mexico,262,15,8,1
2023-12-10,aguascalientes,Mexico,449,26,18,3
2023-12-10,zacatecas,Mexico,318,13,24,6
2023-12-10,baja california sur,Mexico,342,15,6,1
2023-12-10,durango,Mexico,356,6,5,0
2023-12-10,campeche,Mexico,292,12,8,1
2023-12-10,nayarit,Mexico,239,12,6,0
2023-12-10,colima,Mexico,176,2,4,0
2023-12-10,tlaxcala,Mexico,227,8,15,0
2023-12-11,mexico city,Mexico,15346,642,498,87
2023-12-11,méxico,Mexico,6675,272,222,46
2023-12-11,nuevo león,Mexico,5467,207,160,27
2023-12-11,jalisco,Mexico,6546,248,215,29
2023-12-11,veracruz,Mexico,1932,60,48,7
2023-12-11,guanajuato,Mexico,1700,68,51,10
2023-12-11,sinaloa,Mexico,1607,66,57,8
2023-12-11,puebla,Mexico,1517,53,37,3
2023-12-11,querétaro,Mexico,1456,57,41,12
2023-12-11,baja california,Mexico,1826,50,57,1
2023-12-11,chihuahua,Mexico,1345,52,35,3
2023-12-11,sonora,Mexico,1580,59,44,2
2023-12-11,coahuila,Mexico,1272,44,45,4
2023-12-11,tamaulipas,Mexico,1210,35,26,4
2023-12-11,yucatán,Mexico,1388,48,50,8
2023-12-11,quintana roo,Mexico,1169,53,40,6
2023-12-11,michoacán,Mexico,889,34,22,5
2023-12-11,morelos,Mexico,616,16,17,2
2023-12-11,tabasco,Mexico,755,39,35,2
2023-12-11,guerrero,Mexico,360,12,7,2
2023-12-11,chiapas,Mexico,421,23,17,4
2023-12-11,san luis potosí,Mexico,571,21,12,0
2023-12-11,hidalgo,Mexico,559,29,19,4
2023-12-11,oaxaca,Mexico,210,9,7,1
2023-12-11,aguascalientes,Mexico,454,14,17,1
2023-12-11,zacatecas,Mexico,305,6,4,1
2023-12-11,baja california sur,Mexico,344,10,6,1
2023-12-11,durango,Mexico,344,8,9,1
2023-12-11,campeche,Mexico,275,13,9,1
2023-12-11,nayarit,Mexico,231,7,5,1
2023-12-11,colima,Mexico,195,7,7,1
2023-12-11,tlaxcala,Mexico,207,5,8,2
2023-12-12,mexico city,Mexico,17861,614,537,91
2023-12-12,méxico,Mexico,7436,279,219,35
2023-12-12,nuevo león,Mexico,6301,191,174,22
2023-12-12,jalisco,Mexico,7493,293,240,33
2023-12-12,veracruz,Mexico,2318,80,41,4
2023-12-12,guanajuato,Mexico,1881,55,40,2
2023-12-12,sinaloa,Mexico,1897,67,59,20
2023-12-12,puebla,Mexico,2025,54,51,3
2023-12-12,querétaro,Mexico,1747,63,47,11
2023-12-12,baja california,Mexico,1849,41,26,1
2023-12-12,chihuahua,Mexico,1406,49,38,5
2023-12-12,sonora,Mexico,1610,46,38,4
2023-12-12,coahuila,Mexico,1413,35,33,6
2023-12-12,tamaulipas,Mexico,1309,44,37,9
2023-12-12,yucatán,Mexico,1646,45,45,6
2023-12-12,quintana roo,Mexico,1413,51,51,3
2023-12-12,michoacán,Mexico,1047,28,31,1
2023-12-12,morelos,Mexico,867,23,22,2
2023-12-12,tabasco,Mexico,874,18,14,1
2023-12-12,guerrero,Mexico,459,26,23,11
2023-12-12,chiapas,Mexico,562,17,14,1
2023-12-12,san luis potosí,Mexico,643,31,19,2
2023-12-12,hidalgo,Mexico,639,28,17,2
2023-12-12,oaxaca,Mexico,284,7,7,2
2023-12-12,aguascalientes,Mexico,442,10,16,3
2023-12-12,zacatecas,Mexico,351,13,12,2
2023-12-12,baja california sur,Mexico,369,10,9,1
2023-12-12,durango,Mexico,383,12,8,0
2023-12-12,campeche,Mexico,391,15,16,2
2023-12-12,nayarit,Mexico,283,12,9,0
2023-12-12,colima,Mexico,212,7,6,2
2023-12-12,tlaxcala,Mexico,271,15,16,2
2023-12-13,mexico city,Mexico,19193,706,618,77
2023-12-13,méxico,Mexico,7972,293,254,42
2023-12-13,nuevo león,Mexico,6736,200,161,14
2023-12-13,jalisco,Mexico,7905,286,238,31
2023-12-13,veracruz,Mexico,2554,93,69,7
2023-12-13,guanajuato,Mexico,2147,84,66,9
2023-12-13,sinaloa,Mexico,2180,77,58,2
2023-12-13,puebla,Mexico,2292,79,63,6
2023-12-13,querétaro,Mexico,1914,68,64,9
2023-12-13,baja california,Mexico,2064,43,36,3
2023-12-13,chihuahua,Mexico,1743,61,48,4
2023-12-13,sonora,Mexico,1837,55,49,3
2023-12-13,coahuila,Mexico,1529,35,28,4
2023-12-13,tamaulipas,Mexico,1435,41,37,6
2023-12-13,yucatán,Mexico,1837,68,60,8
2023-12-13,quintana roo,Mexico,1427,67,60,8
2023-12-13,michoacán,Mexico,1115,36,29,3
2023-12-13,morelos,Mexico,880,24,16,1
2023-12-13,tabasco,Mexico,1021,26,31,3
2023-12-13,guerrero,Mexico,454,9,13,4
2023-12-13,chiapas,Mexico,542,19,14,2
2023-12-13,san luis potosí,Mexico,685,30,22,3
2023-12-13,hidalgo,Mexico,671,21,21,0
2023-12-13,oaxaca,Mexico,353,24,24,1
2023-12-13,aguascalientes,Mexico,528,30,29,6
2023-12-13,zacatecas,Mexico,371,15,13,1
2023-12-13,baja california sur,Mexico,359,14,11,2
2023-12-13,durango,Mexico,397,14,15,1
2023-12-13,campeche,Mexico,430,10,7,1
2023-12-13,nayarit,Mexico,280,12,7,0
2023-12-13,colima,Mexico,236,5,3,1
2023-12-13,tlaxcala,Mexico,260,12,6,2
2023-12-14,mexico city,Mexico,17869,737,628,88
2023-12-14,méxico,Mexico,7595,318,275,29
2023-12-14,nuevo león,Mexico,6307,223,158,18
2023-12-14,jalisco,Mexico,7276,278,244,29
2023-12-14,veracruz,Mexico,2331,91,70,7
2023-12-14,guanajuato,Mexico,1947,74,56,8
2023-12-14,sinaloa,Mexico,1806,65,52,9
2023-12-14,puebla,Mexico,1952,81,69,7
2023-12-14,querétaro,Mexico,1626,62,44,6
2023-12-14,baja california,Mexico,1773,52,38,1
2023-12-14,chihuahua,Mexico,1433,41,26,4
2023-12-14,sonora,Mexico,1675,53,47,5
2023-12-14,coahuila,Mexico,1385,45,36,7
2023-12-14,tamaulipas,Mexico,1389,43,38,5
2023-12-14,yucatán,Mexico,1651,78,72,5
2023-12-14,quintana roo,Mexico,1270,47,37,1
2023-12-14,michoacán,Mexico,1021,49,39,2
2023-12-14,morelos,Mexico,831,30,30,2
2023-12-14,tabasco,Mexico,916,43,36,1
2023-12-14,guerrero,Mexico,457,22,30,5
2023-12-14,chiapas,Mexico,524,14,14,0
2023-12-14,san luis potosí,Mexico,660,15,15,1
2023-12-14,hidalgo,Mexico,600,19,27,2
2023-12-14,oaxaca,Mexico,284,11,15,0
2023-12-14,aguascalientes,Mexico,538,24,12,1
2023-12-14,zacatecas,Mexico,366,10,6,0
2023-12-14,baja california sur,Mexico,372,11,9,2
2023-12-14,durango,Mexico,302,13,8,0
2023-12-14,campeche,Mexico,367,10,12,0
2023-12-14,nayarit,Mexico,305,7,6,0
2023-12-14,colima,Mexico,197,9,6,1
2023-12-14,tlaxcala,Mexico,225,10,10,0
2023-12-15,mexico city,Mexico,15387,603,556,72
2023-12-15,méxico,Mexico,6652,299,245,28
2023-12-15,nuevo león,Mexico,4868,192,161,12
2023-12-15,jalisco,Mexico,6297,320,261,25
2023-12-15,veracruz,Mexico,2073,81,66,6
2023-12-15,guanajuato,Mexico,1696,82,65,7
2023-12-15,sinaloa,Mexico,1504,60,47,3
2023-12-15,puebla,Mexico,1713,65,47,1
2023-12-15,querétaro,Mexico,1386,64,49,4
2023-12-15,baja california,Mexico,1489,50,34,2
2023-12-15,chihuahua,Mexico,1185,47,30,2
2023-12-15,sonora,Mexico,1342,53,48,4
2023-12-15,coahuila,Mexico,1192,45,45,6
2023-12-15,tamaulipas,Mexico,1109,45,34,5
2023-12-15,yucatán,Mexico,1431,67,58,8
2023-12-15,quintana roo,Mexico,1171,45,52,6
2023-12-15,michoacán,Mexico,879,34,28,1
2023-12-15,morelos,Mexico,733,22,15,1
2023-12-15,tabasco,Mexico,752,38,35,6
2023-12-15,guerrero,Mexico,368,15,11,1
2023-12-15,chiapas,Mexico,504,28,19,2
2023-12-15,san luis potosí,Mexico,529,18,15,3
2023-12-15,hidalgo,Mexico,552,23,19,1
2023-12-15,oaxaca,Mexico,251,11,7,0
2023-12-15,aguascalientes,Mexico,436,18,18,5
2023-12-15,zacatecas,Mexico,316,12,10,1
2023-12-15,baja california sur,Mexico,315,13,10,0
2023-12-15,durango,Mexico,273,12,8,1
2023-12-15,campeche,Mexico,318,8,11,2
2023-12-15,nayarit,Mexico,246,9,10,2
2023-12-15,colima,Mexico,189,8,7,1
2023-12-15,tlaxcala,Mexico,212,7,9,0
2023-12-16,mexico city,Mexico,15349,639,564,64
2023-12-16,méxico,Mexico,6798,321,250,27
2023-12-16,nuevo león,Mexico,5380,210,164,15
2023-12-16,jalisco,Mexico,6704,317,263,28
2023-12-16,veracruz,Mexico,2189,104,67,1
2023-12-16,guanajuato,Mexico,1672,73,56,5
2023-12-16,sinaloa,Mexico,1691,60,53,4
2023-12-16,puebla,Mexico,1871,69,68,7
2023-12-16,querétaro,Mexico,1499,66,59,7
