time,location,Y,carts,payment,purchase
2024-06-28,tlaxcala,270,15,16,0
2024-06-28,michoacán,1266,67,44,3
2024-06-28,yucatán,1249,46,40,4
2024-06-28,guerrero,576,9,7,0
2024-06-28,tamaulipas,1138,30,23,1
2024-06-28,san luis potosí,592,21,19,2
2024-06-28,sinaloa,1620,57,51,6
2024-06-28,zacatecas,408,12,11,0
2024-06-28,morelos,960,30,26,0
2024-06-28,coahuila,1443,146,126,5
2024-06-28,jalisco,5327,227,189,18
2024-06-28,aguascalientes,415,11,7,1
2024-06-28,nuevo león,4774,198,147,16
2024-06-28,chihuahua,1515,64,45,4
2024-06-28,quintana roo,1433,42,42,3
2024-06-28,méxico,6615,239,195,23
2024-06-28,puebla,1785,78,60,4
2024-06-28,hidalgo,645,25,20,3
2024-06-28,querétaro,1430,69,31,6
2024-06-28,oaxaca,279,11,5,1
2024-06-28,nayarit,222,7,4,2
2024-06-28,durango,301,11,7,1
2024-06-28,colima,314,13,10,0
2024-06-28,baja california,1597,70,53,4
2024-06-28,mexico city,14072,664,567,44
2024-06-28,chiapas,516,24,18,0
2024-06-28,guanajuato,1962,65,55,4
2024-06-28,veracruz,1952,75,65,6
2024-06-28,campeche,333,13,15,1
2024-06-28,tabasco,1015,41,28,2
2024-06-28,baja california sur,388,16,12,1
2024-06-28,sonora,1484,49,44,5
2024-06-29,tlaxcala,241,15,11,0
2024-06-29,michoacán,1111,39,30,2
2024-06-29,yucatán,1151,43,36,3
2024-06-29,guerrero,507,22,16,2
2024-06-29,tamaulipas,1033,35,26,1
2024-06-29,san luis potosí,546,27,10,1
2024-06-29,sinaloa,1201,42,27,1
2024-06-29,zacatecas,323,9,10,1
2024-06-29,morelos,851,24,21,6
2024-06-29,coahuila,1226,131,118,2
2024-06-29,jalisco,4673,193,164,23
2024-06-29,aguascalientes,405,16,10,3
2024-06-29,nuevo león,4211,156,123,17
2024-06-29,chihuahua,1331,57,38,5
2024-06-29,quintana roo,1451,63,40,8
2024-06-29,méxico,5608,210,177,15
2024-06-29,puebla,1630,64,60,7
2024-06-29,hidalgo,519,23,23,1
2024-06-29,querétaro,1327,48,49,10
2024-06-29,oaxaca,230,10,5,0
2024-06-29,nayarit,208,11,7,0
2024-06-29,durango,268,12,7,1
2024-06-29,colima,262,12,9,0
2024-06-29,baja california,1442,40,35,1
2024-06-29,mexico city,12302,585,474,50
2024-06-29,chiapas,492,21,17,1
2024-06-29,guanajuato,1662,63,38,3
2024-06-29,veracruz,1539,62,36,5
2024-06-29,campeche,295,11,9,1
2024-06-29,tabasco,937,37,18,1
2024-06-29,baja california sur,304,11,12,3
2024-06-29,sonora,1161,37,24,0
2024-06-30,tlaxcala,324,12,11,0
2024-06-30,michoacán,1387,62,37,2
2024-06-30,yucatán,1205,42,28,8
2024-06-30,guerrero,619,20,15,2
2024-06-30,tamaulipas,1247,29,26,1
2024-06-30,san luis potosí,691,30,16,1
2024-06-30,sinaloa,1458,49,29,3
2024-06-30,zacatecas,399,14,17,0
2024-06-30,morelos,979,41,16,1
2024-06-30,coahuila,1484,142,114,5
2024-06-30,jalisco,5354,211,175,15
2024-06-30,aguascalientes,453,16,7,1
2024-06-30,nuevo león,5384,204,134,23
2024-06-30,chihuahua,1494,48,36,3
